,Artists,Song,Rank,Week
0,Travis Scott,Sicko Mode,1,2018-12-08
1,Ariana Grande,"Thank U, Next",2,2018-12-08
2,Marshmello & Bastille,Happier,3,2018-12-08
3,Halsey,Without Me,4,2018-12-08
4,Panic! At The Disco,High Hopes,5,2018-12-08
5,Sheck Wes,Mo Bamba,6,2018-12-08
6,Kodak Black Featuring Travis Scott & Offset,ZEZE,7,2018-12-08
7,Lil Baby & Gunna,Drip Too Hard,8,2018-12-08
8,Maroon 5 Featuring Cardi B,Girls Like You,9,2018-12-08
9,Juice WRLD,Lucid Dreams,10,2018-12-08
10,Post Malone,Better Now,11,2018-12-08
11,5 Seconds Of Summer,Youngblood,12,2018-12-08
12,Ariana Grande,Breathin,13,2018-12-08
13,Mariah Carey,All I Want For Christmas Is You,14,2018-12-08
14,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,15,2018-12-08
15,Ella Mai,Trip,16,2018-12-08
16,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),17,2018-12-08
17,"Benny Blanco, Halsey & Khalid",Eastside,18,2018-12-08
18,Bad Bunny Featuring Drake,MIA,19,2018-12-08
19,Khalid & Normani,Love Lies,20,2018-12-08
20,Andy Williams,It's The Most Wonderful Time Of The Year,21,2018-12-08
21,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,22,2018-12-08
22,Brenda Lee,Rockin' Around The Christmas Tree,23,2018-12-08
23,Cardi B,Money,24,2018-12-08
24,Imagine Dragons,Natural,25,2018-12-08
25,Burl Ives,A Holly Jolly Christmas,26,2018-12-08
26,Flipp Dinero,Leave Me Alone,27,2018-12-08
27,Lady Gaga & Bradley Cooper,Shallow,28,2018-12-08
28,Khalid,Better,29,2018-12-08
29,Bazzi Featuring Camila Cabello,Beautiful,30,2018-12-08
30,"Cardi B, Bad Bunny & J Balvin",I Like It,31,2018-12-08
31,lovelytheband,Broken,32,2018-12-08
32,Bobby Helms,Jingle Bell Rock,33,2018-12-08
33,Ariana Grande,God Is A Woman,34,2018-12-08
34,Tyga Featuring Offset,Taste,35,2018-12-08
35,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,36,2018-12-08
36,Drake,In My Feelings,37,2018-12-08
37,Dan + Shay,Speechless,38,2018-12-08
38,Nat King Cole,The Christmas Song (Merry Christmas To You),39,2018-12-08
39,Lil Wayne,Uproar,40,2018-12-08
40,Kane Brown,Lose It,41,2018-12-08
41,Luke Combs,She Got The Best Of Me,42,2018-12-08
42,Wham!,Last Christmas,43,2018-12-08
43,Lil Baby & Drake,Yes Indeed,44,2018-12-08
44,Dan + Shay,Tequila,45,2018-12-08
45,Drake,Nonstop,46,2018-12-08
46,Cardi B Featuring Kehlani,Ring,47,2018-12-08
47,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,48,2018-12-08
48,Jimmie Allen,Best Shot,49,2018-12-08
49,Ella Mai,Boo'd Up,50,2018-12-08
50,NF,Lie,51,2018-12-08
51,Billie Eilish,When The Party's Over,52,2018-12-08
52,Mitchell Tenpenny,Drunk Me,53,2018-12-08
53,XXXTENTACION,BAD!,54,2018-12-08
54,Juice WRLD,Armed And Dangerous,55,2018-12-08
55,Shawn Mendes X Zedd,Lost In Japan,56,2018-12-08
56,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,57,2018-12-08
57,6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,58,2018-12-08
58,6ix9ine Featuring Tory Lanez,KIKA,59,2018-12-08
59,Lauren Daigle,You Say,60,2018-12-08
60,6ix9ine Featuring Bobby Shmurda,STOOPID,61,2018-12-08
61,6ix9ine Featuring Lil Baby,TIC TOC,62,2018-12-08
62,Lil Baby,Close Friends,63,2018-12-08
63,Future & Juice WRLD,Fine China,64,2018-12-08
64,Dean Lewis,Be Alright,65,2018-12-08
65,Trippie Redd,Topanga,66,2018-12-08
66,Yella Beezy,That's On Me,67,2018-12-08
67,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),68,2018-12-08
68,Billie Eilish,Come Out And Play,69,2018-12-08
69,Metro Boomin Featuring 21 Savage,10 Freaky Girls,70,2018-12-08
70,6ix9ine Featuring A Boogie Wit da Hoodie,WAKA,71,2018-12-08
71,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,72,2018-12-08
72,French Montana Featuring Drake,No Stylist,73,2018-12-08
73,Dierks Bentley Featuring Brothers Osborne,Burning Man,74,2018-12-08
74,Tory Lanez & Rich The Kid,Talk To Me,75,2018-12-08
75,Pardison Fontaine Featuring Cardi B,Backin' It Up,76,2018-12-08
76,Camila Cabello,Consequences,77,2018-12-08
77,Bebe Rexha,I'm A Mess,78,2018-12-08
78,Chris Young,Hangin' On,79,2018-12-08
79,Tyga & Nicki Minaj,Dip,80,2018-12-08
80,Dustin Lynch,Good Girl,81,2018-12-08
81,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,82,2018-12-08
82,Billie Eilish & Khalid,Lovely,83,2018-12-08
83,Anuel AA & Romeo Santos,Ella Quiere Beber,84,2018-12-08
84,Lil Baby & Gunna Featuring Drake,Never Recover,85,2018-12-08
85,6ix9ine Featuring Anuel AA,BEBE,86,2018-12-08
86,Maren Morris,Rich,87,2018-12-08
87,Thomas Rhett,Sixteen,88,2018-12-08
88,Russell Dickerson,Blue Tacoma,89,2018-12-08
89,Jacquees,You,90,2018-12-08
90,Metro Boomin Featuring Gunna,Space Cadet,91,2018-12-08
91,Kip Moore,Last Shot,92,2018-12-08
92,Daniel Caesar Featuring H.E.R.,Best Part,93,2018-12-08
93,Jason Aldean,Girl Like You,94,2018-12-08
94,Metro Boomin Featuring 21 Savage,Don't Come Out The House,95,2018-12-08
95,Billie Eilish,Ocean Eyes,96,2018-12-08
96,Kanye West & Lil Pump,I Love It,97,2018-12-08
97,Lil Peep & XXXTENTACION,Falling Down,98,2018-12-08
98,Lil Mosey,Noticed,99,2018-12-08
99,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,100,2018-12-08
100,Ariana Grande,"Thank U, Next",1,2018-12-01
101,Travis Scott,Sicko Mode,2,2018-12-01
102,Marshmello & Bastille,Happier,3,2018-12-01
103,Halsey,Without Me,4,2018-12-01
104,Juice WRLD,Lucid Dreams,5,2018-12-01
105,Panic! At The Disco,High Hopes,6,2018-12-01
106,Sheck Wes,Mo Bamba,7,2018-12-01
107,Maroon 5 Featuring Cardi B,Girls Like You,8,2018-12-01
108,Lil Baby & Gunna,Drip Too Hard,9,2018-12-01
109,Kodak Black Featuring Travis Scott & Offset,ZEZE,10,2018-12-01
110,Post Malone,Better Now,11,2018-12-01
111,5 Seconds Of Summer,Youngblood,12,2018-12-01
112,Ariana Grande,Breathin,13,2018-12-01
113,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,14,2018-12-01
114,Ella Mai,Trip,15,2018-12-01
115,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),16,2018-12-01
116,"Benny Blanco, Halsey & Khalid",Eastside,17,2018-12-01
117,Bad Bunny Featuring Drake,MIA,18,2018-12-01
118,Khalid & Normani,Love Lies,19,2018-12-01
119,Imagine Dragons,Natural,20,2018-12-01
120,Cardi B,Money,21,2018-12-01
121,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,22,2018-12-01
122,Lady Gaga & Bradley Cooper,Shallow,23,2018-12-01
123,"Cardi B, Bad Bunny & J Balvin",I Like It,24,2018-12-01
124,Drake,In My Feelings,25,2018-12-01
125,Ariana Grande,God Is A Woman,26,2018-12-01
126,Tyga Featuring Offset,Taste,27,2018-12-01
127,Flipp Dinero,Leave Me Alone,28,2018-12-01
128,Mariah Carey,All I Want For Christmas Is You,29,2018-12-01
129,Bazzi Featuring Camila Cabello,Beautiful,30,2018-12-01
130,Lil Baby & Drake,Yes Indeed,31,2018-12-01
131,Drake,Nonstop,32,2018-12-01
132,Dan + Shay,Speechless,33,2018-12-01
133,Luke Combs,She Got The Best Of Me,34,2018-12-01
134,lovelytheband,Broken,35,2018-12-01
135,Dan + Shay,Tequila,36,2018-12-01
136,Lil Wayne,Uproar,37,2018-12-01
137,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,38,2018-12-01
138,XXXTENTACION,BAD!,39,2018-12-01
139,Kane Brown,Lose It,40,2018-12-01
140,Cardi B Featuring Kehlani,Ring,41,2018-12-01
141,Ella Mai,Boo'd Up,42,2018-12-01
142,Khalid,Better,43,2018-12-01
143,Lauv,I Like Me Better,44,2018-12-01
144,Post Malone Featuring Ty Dolla $ign,Psycho,45,2018-12-01
145,XXXTENTACION,Sad!,46,2018-12-01
146,Jimmie Allen,Best Shot,47,2018-12-01
147,NF,Lie,48,2018-12-01
148,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,49,2018-12-01
149,Queen,Bohemian Rhapsody,50,2018-12-01
150,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,51,2018-12-01
151,Billie Eilish,When The Party's Over,52,2018-12-01
152,Juice WRLD,Armed And Dangerous,53,2018-12-01
153,Shawn Mendes X Zedd,Lost In Japan,54,2018-12-01
154,Mitchell Tenpenny,Drunk Me,55,2018-12-01
155,Yella Beezy,That's On Me,56,2018-12-01
156,Lil Baby,Close Friends,57,2018-12-01
157,Lauren Daigle,You Say,58,2018-12-01
158,Bebe Rexha,I'm A Mess,59,2018-12-01
159,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),60,2018-12-01
160,Trippie Redd,Topanga,61,2018-12-01
161,Maren Morris,Rich,62,2018-12-01
162,Metro Boomin Featuring 21 Savage,10 Freaky Girls,63,2018-12-01
163,Future & Juice WRLD,Fine China,64,2018-12-01
164,Pardison Fontaine Featuring Cardi B,Backin' It Up,65,2018-12-01
165,French Montana Featuring Drake,No Stylist,66,2018-12-01
166,Chris Young,Hangin' On,67,2018-12-01
167,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,68,2018-12-01
168,Dierks Bentley Featuring Brothers Osborne,Burning Man,69,2018-12-01
169,Lil Baby & Gunna Featuring Drake,Never Recover,70,2018-12-01
170,Tyga & Nicki Minaj,Dip,71,2018-12-01
171,Tory Lanez & Rich The Kid,Talk To Me,72,2018-12-01
172,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,73,2018-12-01
173,Metro Boomin Featuring Gunna,Space Cadet,74,2018-12-01
174,Kanye West & Lil Pump,I Love It,75,2018-12-01
175,Dean Lewis,Be Alright,76,2018-12-01
176,Russell Dickerson,Blue Tacoma,77,2018-12-01
177,Metro Boomin Featuring 21 Savage,Don't Come Out The House,78,2018-12-01
178,Anuel AA & Romeo Santos,Ella Quiere Beber,79,2018-12-01
179,Billie Eilish & Khalid,Lovely,80,2018-12-01
180,Kodak Black,Take One,81,2018-12-01
181,Camila Cabello,Consequences,82,2018-12-01
182,Daniel Caesar Featuring H.E.R.,Best Part,83,2018-12-01
183,Lil Peep & XXXTENTACION,Falling Down,84,2018-12-01
184,6ix9ine Featuring Bobby Shmurda,STOOPID,85,2018-12-01
185,Quavo,W O R K I N M E,86,2018-12-01
186,Thomas Rhett,Sixteen,87,2018-12-01
187,Dustin Lynch,Good Girl,88,2018-12-01
188,Eminem Featuring Joyner Lucas,Lucky You,89,2018-12-01
189,Kip Moore,Last Shot,90,2018-12-01
190,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,91,2018-12-01
191,City Girls Featuring Cardi B,Twerk,92,2018-12-01
192,Lil Mosey,Noticed,93,2018-12-01
193,Silk City x Dua Lipa,Electricity,94,2018-12-01
194,Eric Church,Desperate Man,95,2018-12-01
195,Chris Stapleton,Millionaire,96,2018-12-01
196,Billie Eilish,Ocean Eyes,97,2018-12-01
197,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,98,2018-12-01
198,Jason Aldean,Girl Like You,99,2018-12-01
199,AJR,Burn The House Down,100,2018-12-01
200,Ariana Grande,"Thank U, Next",1,2018-11-24
201,Travis Scott,Sicko Mode,2,2018-11-24
202,Marshmello & Bastille,Happier,3,2018-11-24
203,Halsey,Without Me,4,2018-11-24
204,Maroon 5 Featuring Cardi B,Girls Like You,5,2018-11-24
205,Juice WRLD,Lucid Dreams,6,2018-11-24
206,Sheck Wes,Mo Bamba,7,2018-11-24
207,Panic! At The Disco,High Hopes,8,2018-11-24
208,Kodak Black Featuring Travis Scott & Offset,ZEZE,9,2018-11-24
209,Lil Baby & Gunna,Drip Too Hard,10,2018-11-24
210,Post Malone,Better Now,11,2018-11-24
211,5 Seconds Of Summer,Youngblood,12,2018-11-24
212,Imagine Dragons,Natural,13,2018-11-24
213,Ariana Grande,Breathin,14,2018-11-24
214,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,15,2018-11-24
215,XXXTENTACION,BAD!,16,2018-11-24
216,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,17,2018-11-24
217,Ella Mai,Trip,18,2018-11-24
218,Bad Bunny Featuring Drake,MIA,19,2018-11-24
219,Khalid & Normani,Love Lies,20,2018-11-24
220,"Benny Blanco, Halsey & Khalid",Eastside,21,2018-11-24
221,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),22,2018-11-24
222,Ariana Grande,God Is A Woman,23,2018-11-24
223,Lady Gaga & Bradley Cooper,Shallow,24,2018-11-24
224,Cardi B,Money,25,2018-11-24
225,"Cardi B, Bad Bunny & J Balvin",I Like It,26,2018-11-24
226,Tyga Featuring Offset,Taste,27,2018-11-24
227,Kane Brown,Lose It,28,2018-11-24
228,Drake,In My Feelings,29,2018-11-24
229,Lil Baby & Drake,Yes Indeed,30,2018-11-24
230,lovelytheband,Broken,31,2018-11-24
231,Bazzi Featuring Camila Cabello,Beautiful,32,2018-11-24
232,Drake,Nonstop,33,2018-11-24
233,Lil Wayne,Uproar,34,2018-11-24
234,Luke Combs,She Got The Best Of Me,35,2018-11-24
235,Dan + Shay,Tequila,36,2018-11-24
236,Flipp Dinero,Leave Me Alone,37,2018-11-24
237,Dan + Shay,Speechless,38,2018-11-24
238,Cardi B Featuring Kehlani,Ring,39,2018-11-24
239,Queen,Bohemian Rhapsody,40,2018-11-24
240,Lauv,I Like Me Better,41,2018-11-24
241,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,42,2018-11-24
242,Ella Mai,Boo'd Up,43,2018-11-24
243,Juice WRLD,Armed And Dangerous,44,2018-11-24
244,XXXTENTACION,Sad!,45,2018-11-24
245,Jimmie Allen,Best Shot,46,2018-11-24
246,Bebe Rexha,I'm A Mess,47,2018-11-24
247,Post Malone Featuring Ty Dolla $ign,Psycho,48,2018-11-24
248,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,49,2018-11-24
249,NF,Lie,50,2018-11-24
250,Khalid,Better,51,2018-11-24
251,Trippie Redd,Topanga,52,2018-11-24
252,Shawn Mendes X Zedd,Lost In Japan,53,2018-11-24
253,Mitchell Tenpenny,Drunk Me,54,2018-11-24
254,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,55,2018-11-24
255,Metro Boomin Featuring 21 Savage,10 Freaky Girls,56,2018-11-24
256,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,57,2018-11-24
257,Lil Baby,Close Friends,58,2018-11-24
258,Billie Eilish,When The Party's Over,59,2018-11-24
259,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,60,2018-11-24
260,Yella Beezy,That's On Me,61,2018-11-24
261,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),62,2018-11-24
262,Metro Boomin Featuring 21 Savage,Don't Come Out The House,63,2018-11-24
263,Lauren Daigle,You Say,64,2018-11-24
264,Future & Juice WRLD,Fine China,65,2018-11-24
265,Metro Boomin Featuring Gunna,Space Cadet,66,2018-11-24
266,Chris Young,Hangin' On,67,2018-11-24
267,Maren Morris,Rich,68,2018-11-24
268,French Montana Featuring Drake,No Stylist,69,2018-11-24
269,Lil Baby & Gunna Featuring Drake,Never Recover,70,2018-11-24
270,Kanye West & Lil Pump,I Love It,71,2018-11-24
271,Lil Peep & XXXTENTACION,Falling Down,72,2018-11-24
272,Trippie Redd,Love Scars 3,73,2018-11-24
273,Pardison Fontaine Featuring Cardi B,Backin' It Up,74,2018-11-24
274,Dierks Bentley Featuring Brothers Osborne,Burning Man,75,2018-11-24
275,Russell Dickerson,Blue Tacoma,76,2018-11-24
276,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,77,2018-11-24
277,Tyga & Nicki Minaj,Dip,78,2018-11-24
278,Imagine Dragons,Bad Liar,79,2018-11-24
279,Tory Lanez & Rich The Kid,Talk To Me,80,2018-11-24
280,Dean Lewis,Be Alright,81,2018-11-24
281,Quavo,W O R K I N M E,82,2018-11-24
282,Camila Cabello,Consequences,83,2018-11-24
283,Daniel Caesar Featuring H.E.R.,Best Part,84,2018-11-24
284,Lady Gaga,Always Remember Us This Way,85,2018-11-24
285,Anuel AA & Romeo Santos,Ella Quiere Beber,86,2018-11-24
286,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,87,2018-11-24
287,6ix9ine Featuring Bobby Shmurda,STOOPID,88,2018-11-24
288,Trippie Redd Featuring Kodie Shane,Negative Energy,89,2018-11-24
289,Lil Mosey,Noticed,90,2018-11-24
290,Thomas Rhett,Sixteen,91,2018-11-24
291,Eminem Featuring Joyner Lucas,Lucky You,92,2018-11-24
292,Dustin Lynch,Good Girl,93,2018-11-24
293,Eric Church,Desperate Man,94,2018-11-24
294,Kip Moore,Last Shot,95,2018-11-24
295,Chris Stapleton,Millionaire,96,2018-11-24
296,Lady Gaga,I'll Never Love Again,97,2018-11-24
297,Trippie Redd,Toxic Waste,98,2018-11-24
298,Bryce Vine,Drew Barrymore,99,2018-11-24
299,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,100,2018-11-24
300,Ariana Grande,"Thank U, Next",1,2018-11-17
301,Maroon 5 Featuring Cardi B,Girls Like You,2,2018-11-17
302,Travis Scott,Sicko Mode,3,2018-11-17
303,Marshmello & Bastille,Happier,4,2018-11-17
304,Juice WRLD,Lucid Dreams,5,2018-11-17
305,Halsey,Without Me,6,2018-11-17
306,Post Malone,Better Now,7,2018-11-17
307,Kodak Black Featuring Travis Scott & Offset,ZEZE,8,2018-11-17
308,Sheck Wes,Mo Bamba,9,2018-11-17
309,Lil Baby & Gunna,Drip Too Hard,10,2018-11-17
310,5 Seconds Of Summer,Youngblood,11,2018-11-17
311,Panic! At The Disco,High Hopes,12,2018-11-17
312,Khalid & Normani,Love Lies,13,2018-11-17
313,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,14,2018-11-17
314,Imagine Dragons,Natural,15,2018-11-17
315,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,16,2018-11-17
316,Ella Mai,Trip,17,2018-11-17
317,"Benny Blanco, Halsey & Khalid",Eastside,18,2018-11-17
318,Bad Bunny Featuring Drake,MIA,19,2018-11-17
319,Ariana Grande,God Is A Woman,20,2018-11-17
320,Ariana Grande,Breathin,21,2018-11-17
321,Lady Gaga & Bradley Cooper,Shallow,22,2018-11-17
322,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),23,2018-11-17
323,Cardi B,Money,24,2018-11-17
324,"Cardi B, Bad Bunny & J Balvin",I Like It,25,2018-11-17
325,Tyga Featuring Offset,Taste,26,2018-11-17
326,Drake,In My Feelings,27,2018-11-17
327,Drake,Nonstop,28,2018-11-17
328,lovelytheband,Broken,29,2018-11-17
329,Lil Baby & Drake,Yes Indeed,30,2018-11-17
330,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,31,2018-11-17
331,Bazzi Featuring Camila Cabello,Beautiful,32,2018-11-17
332,Queen,Bohemian Rhapsody,33,2018-11-17
333,Lil Wayne,Uproar,34,2018-11-17
334,Bebe Rexha,I'm A Mess,35,2018-11-17
335,Cardi B Featuring Kehlani,Ring,36,2018-11-17
336,Lauv,I Like Me Better,37,2018-11-17
337,Metro Boomin Featuring 21 Savage,Don't Come Out The House,38,2018-11-17
338,Luke Combs,She Got The Best Of Me,39,2018-11-17
339,Ella Mai,Boo'd Up,40,2018-11-17
340,Flipp Dinero,Leave Me Alone,41,2018-11-17
341,Metro Boomin Featuring 21 Savage,10 Freaky Girls,42,2018-11-17
342,Dan + Shay,Tequila,43,2018-11-17
343,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,44,2018-11-17
344,Dan + Shay,Speechless,45,2018-11-17
345,XXXTENTACION,Sad!,46,2018-11-17
346,Selena Gomez,Back To You,47,2018-11-17
347,Post Malone Featuring Ty Dolla $ign,Psycho,48,2018-11-17
348,Taylor Swift,Delicate,49,2018-11-17
349,Jimmie Allen,Best Shot,50,2018-11-17
350,Metro Boomin Featuring Gunna,Space Cadet,51,2018-11-17
351,Shawn Mendes X Zedd,Lost In Japan,52,2018-11-17
352,Kane Brown,Lose It,53,2018-11-17
353,NF,Lie,54,2018-11-17
354,Khalid,Better,55,2018-11-17
355,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,56,2018-11-17
356,Yella Beezy,That's On Me,57,2018-11-17
357,Mitchell Tenpenny,Drunk Me,58,2018-11-17
358,Lil Baby,Close Friends,59,2018-11-17
359,Kanye West & Lil Pump,I Love It,60,2018-11-17
360,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),61,2018-11-17
361,Metro Boomin Featuring Travis Scott,Overdue,62,2018-11-17
362,Tyga & Nicki Minaj,Dip,63,2018-11-17
363,Future & Juice WRLD,Fine China,64,2018-11-17
364,Chris Young,Hangin' On,65,2018-11-17
365,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,66,2018-11-17
366,Billie Eilish,When The Party's Over,67,2018-11-17
367,TakeOff,Last Memory,68,2018-11-17
368,Lil Baby & Gunna Featuring Drake,Never Recover,69,2018-11-17
369,Lauren Daigle,You Say,70,2018-11-17
370,Maren Morris,Rich,71,2018-11-17
371,Metro Boomin Featuring Swae Lee & Travis Scott,Dreamcatcher,72,2018-11-17
372,French Montana Featuring Drake,No Stylist,73,2018-11-17
373,Russell Dickerson,Blue Tacoma,74,2018-11-17
374,Quavo,W O R K I N M E,75,2018-11-17
375,Bryce Vine,Drew Barrymore,76,2018-11-17
376,Pardison Fontaine Featuring Cardi B,Backin' It Up,77,2018-11-17
377,Lil Peep & XXXTENTACION,Falling Down,78,2018-11-17
378,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",No More,79,2018-11-17
379,6ix9ine Featuring Bobby Shmurda,STOOPID,80,2018-11-17
380,Lady Gaga,Always Remember Us This Way,81,2018-11-17
381,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,82,2018-11-17
382,Tory Lanez & Rich The Kid,Talk To Me,83,2018-11-17
383,Daniel Caesar Featuring H.E.R.,Best Part,84,2018-11-17
384,Lady Gaga,I'll Never Love Again,85,2018-11-17
385,Anuel AA & Romeo Santos,Ella Quiere Beber,86,2018-11-17
386,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,87,2018-11-17
387,Calvin Harris & Sam Smith,Promises,88,2018-11-17
388,Dean Lewis,Be Alright,89,2018-11-17
389,Trippie Redd,Topanga,90,2018-11-17
390,Lil Mosey,Noticed,91,2018-11-17
391,Dierks Bentley Featuring Brothers Osborne,Burning Man,92,2018-11-17
392,Eminem Featuring Joyner Lucas,Lucky You,93,2018-11-17
393,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,94,2018-11-17
394,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,95,2018-11-17
395,Old Dominion,Hotel Key,96,2018-11-17
396,Camila Cabello,Consequences,97,2018-11-17
397,Eminem,Killshot,98,2018-11-17
398,TakeOff,Casper,99,2018-11-17
399,Metro Boomin Featuring Travis Scott & Young Thug,Up To Something,100,2018-11-17
400,Maroon 5 Featuring Cardi B,Girls Like You,1,2018-11-10
401,Travis Scott,Sicko Mode,2,2018-11-10
402,Marshmello & Bastille,Happier,3,2018-11-10
403,Juice WRLD,Lucid Dreams,4,2018-11-10
404,Post Malone,Better Now,5,2018-11-10
405,Kodak Black Featuring Travis Scott & Offset,ZEZE,6,2018-11-10
406,5 Seconds Of Summer,Youngblood,7,2018-11-10
407,Lil Baby & Gunna,Drip Too Hard,8,2018-11-10
408,Halsey,Without Me,9,2018-11-10
409,Sheck Wes,Mo Bamba,10,2018-11-10
410,Panic! At The Disco,High Hopes,11,2018-11-10
411,Khalid & Normani,Love Lies,12,2018-11-10
412,Cardi B,Money,13,2018-11-10
413,Imagine Dragons,Natural,14,2018-11-10
414,Bad Bunny Featuring Drake,MIA,15,2018-11-10
415,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,16,2018-11-10
416,Ella Mai,Trip,17,2018-11-10
417,"Benny Blanco, Halsey & Khalid",Eastside,18,2018-11-10
418,"Cardi B, Bad Bunny & J Balvin",I Like It,19,2018-11-10
419,Ariana Grande,God Is A Woman,20,2018-11-10
420,Lady Gaga & Bradley Cooper,Shallow,21,2018-11-10
421,Tyga Featuring Offset,Taste,22,2018-11-10
422,Drake,In My Feelings,23,2018-11-10
423,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),24,2018-11-10
424,Drake,Nonstop,25,2018-11-10
425,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,26,2018-11-10
426,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,27,2018-11-10
427,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,28,2018-11-10
428,lovelytheband,Broken,29,2018-11-10
429,Lil Baby & Drake,Yes Indeed,30,2018-11-10
430,Michael Jackson,Thriller,31,2018-11-10
431,Ariana Grande,Breathin,32,2018-11-10
432,Bazzi Featuring Camila Cabello,Beautiful,33,2018-11-10
433,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,34,2018-11-10
434,Selena Gomez,Back To You,35,2018-11-10
435,Lil Wayne,Uproar,36,2018-11-10
436,Luke Combs,She Got The Best Of Me,37,2018-11-10
437,Lauv,I Like Me Better,38,2018-11-10
438,Bebe Rexha,I'm A Mess,39,2018-11-10
439,Cardi B Featuring Kehlani,Ring,40,2018-11-10
440,Ella Mai,Boo'd Up,41,2018-11-10
441,XXXTENTACION,Sad!,42,2018-11-10
442,Taylor Swift,Delicate,43,2018-11-10
443,Post Malone Featuring Ty Dolla $ign,Psycho,44,2018-11-10
444,Dan + Shay,Tequila,45,2018-11-10
445,"Zedd, Maren Morris & Grey",The Middle,46,2018-11-10
446,Kanye West & Lil Pump,I Love It,47,2018-11-10
447,Shawn Mendes X Zedd,Lost In Japan,48,2018-11-10
448,Future & Juice WRLD,Fine China,49,2018-11-10
449,Dan + Shay,Speechless,50,2018-11-10
450,Lil Baby,Close Friends,51,2018-11-10
451,NF,Lie,52,2018-11-10
452,Jimmie Allen,Best Shot,53,2018-11-10
453,TakeOff,Last Memory,54,2018-11-10
454,Flipp Dinero,Leave Me Alone,55,2018-11-10
455,Khalid,Better,56,2018-11-10
456,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),57,2018-11-10
457,Billie Eilish,When The Party's Over,58,2018-11-10
458,Kane Brown,Lose It,59,2018-11-10
459,Lil Baby & Gunna Featuring Drake,Never Recover,60,2018-11-10
460,Mitchell Tenpenny,Drunk Me,61,2018-11-10
461,Yella Beezy,That's On Me,62,2018-11-10
462,Chris Young,Hangin' On,63,2018-11-10
463,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,64,2018-11-10
